protein_id,orthogroup
Tadh-TriadG12208,OG0000000
Tadh-TriadG12344,OG0000000
Tadh-TriadG15161,OG0000000
Tadh-TriadG16659,OG0000000
Tadh-TriadG21564,OG0000000
Tadh-TriadG22855,OG0000000
Tadh-TriadG23036,OG0000000
Tadh-TriadG24853,OG0000000
Tadh-TriadG25090,OG0000000
Tadh-TriadG27547,OG0000000
Tadh-TriadG28106,OG0000000
Tadh-TriadG34842,OG0000000
Tadh-TriadG3665,OG0000000
Tadh-TriadG4397,OG0000000
Tadh-TriadG50482,OG0000000
Tadh-TriadG50752,OG0000000
Tadh-TriadG50842,OG0000000
Tadh-TriadG52193,OG0000000
Tadh-TriadG53166,OG0000000
Tadh-TriadG53295,OG0000000
Tadh-TriadG53296,OG0000000
Tadh-TriadG54802,OG0000000
Tadh-TriadG54804,OG0000000
Tadh-TriadG56931,OG0000000
Tadh-TriadG56932,OG0000000
Tadh-TriadG56933,OG0000000
Tadh-TriadG56934,OG0000000
Tadh-TriadG57998,OG0000000
Tadh-TriadG59641,OG0000000
Tadh-TriadG61094,OG0000000
Tadh-TriadG62480,OG0000000
Tadh-TriadG8256,OG0000000
Tadh-hyp-clust9203b,OG0000000
Tadh-wf-g11986,OG0000000
Tadh-wf-g3429,OG0000000
Tadh-wf-g5607,OG0000000
Tadh-wf-g6078,OG0000000
Tadh-wf-g6857,OG0000000
Tadh-wf-g6858,OG0000000
Tadh-wf-g6867,OG0000000
Tadh-TriadG11163,OG0000002
Tadh-TriadG14615,OG0000002
Tadh-TriadG15459,OG0000002
Tadh-TriadG21782,OG0000002
Tadh-TriadG25957,OG0000002
Tadh-TriadG26009,OG0000002
Tadh-TriadG29004,OG0000002
Tadh-TriadG29133,OG0000002
Tadh-TriadG29468,OG0000002
Tadh-TriadG29616,OG0000002
Tadh-TriadG29642,OG0000002
Tadh-TriadG29682,OG0000002
Tadh-TriadG29696,OG0000002
Tadh-TriadG32924,OG0000002
Tadh-TriadG33970,OG0000002
Tadh-TriadG34175,OG0000002
Tadh-TriadG3759,OG0000002
Tadh-TriadG4188,OG0000002
Tadh-TriadG4322,OG0000002
Tadh-TriadG4509,OG0000002
Tadh-TriadG51667,OG0000002
Tadh-TriadG51668,OG0000002
Tadh-TriadG51669,OG0000002
Tadh-TriadG51670,OG0000002
Tadh-TriadG51671,OG0000002
Tadh-TriadG51672,OG0000002
Tadh-TriadG5190,OG0000002
Tadh-TriadG55368,OG0000002
Tadh-TriadG58721,OG0000002
Tadh-TriadG58722,OG0000002
Tadh-TriadG58723,OG0000002
Tadh-TriadG58724,OG0000002
Tadh-TriadG58725,OG0000002
Tadh-TriadG59248,OG0000002
