term	gene
GO:0000375	c100001-g1
GO:0000377	c100001-g1
GO:0000398	c100001-g1
GO:0001650	c100001-g1
GO:0001889	c100001-g1
GO:0002376	c100001-g1
GO:0002520	c100001-g1
GO:0002682	c100001-g1
GO:0002684	c100001-g1
GO:0002694	c100001-g1
GO:0002696	c100001-g1
GO:0003674	c100001-g1
GO:0003724	c100001-g1
GO:0003824	c100001-g1
GO:0004386	c100001-g1
GO:0005575	c100001-g1
GO:0005622	c100001-g1
GO:0005634	c100001-g1
GO:0005654	c100001-g1
GO:0005681	c100001-g1
GO:0005730	c100001-g1
GO:0005737	c100001-g1
GO:0006139	c100001-g1
GO:0006396	c100001-g1
GO:0006397	c100001-g1
GO:0007275	c100001-g1
GO:0007399	c100001-g1
GO:0007417	c100001-g1
GO:0007420	c100001-g1
GO:0008150	c100001-g1
GO:0008152	c100001-g1
GO:0008186	c100001-g1
GO:0008380	c100001-g1
GO:0009653	c100001-g1
GO:0009887	c100001-g1
GO:0009987	c100001-g1
GO:0010467	c100001-g1
GO:0010468	c100001-g1
GO:0016070	c100001-g1
GO:0016071	c100001-g1
GO:0016462	c100001-g1
GO:0016604	c100001-g1
GO:0016607	c100001-g1
GO:0016787	c100001-g1
GO:0016817	c100001-g1
GO:0016818	c100001-g1
GO:0016887	c100001-g1
GO:0017111	c100001-g1
GO:0019222	c100001-g1
GO:0022612	c100001-g1
GO:0030097	c100001-g1
GO:0031016	c100001-g1
GO:0031017	c100001-g1
GO:0031974	c100001-g1
GO:0031981	c100001-g1
GO:0032501	c100001-g1
GO:0032502	c100001-g1
GO:0032991	c100001-g1
GO:0035239	c100001-g1
GO:0035272	c100001-g1
GO:0035295	c100001-g1
GO:0043170	c100001-g1
GO:0043226	c100001-g1
GO:0043227	c100001-g1
GO:0043228	c100001-g1
GO:0043229	c100001-g1
GO:0043231	c100001-g1
GO:0043232	c100001-g1
GO:0043233	c100001-g1
GO:0044238	c100001-g1
GO:0045595	c100001-g1
GO:0045597	c100001-g1
GO:0045619	c100001-g1
GO:0045621	c100001-g1
GO:0045637	c100001-g1
GO:0045639	c100001-g1
GO:0045646	c100001-g1
GO:0045648	c100001-g1
GO:0048513	c100001-g1
GO:0048518	c100001-g1
GO:0048522	c100001-g1
GO:0048534	c100001-g1
GO:0048546	c100001-g1
GO:0048565	c100001-g1
GO:0048731	c100001-g1
GO:0048732	c100001-g1
GO:0048856	c100001-g1
GO:0050789	c100001-g1
GO:0050793	c100001-g1
GO:0050794	c100001-g1
GO:0050865	c100001-g1
GO:0050867	c100001-g1
GO:0051094	c100001-g1
GO:0051239	c100001-g1
GO:0051240	c100001-g1
GO:0051249	c100001-g1
GO:0051251	c100001-g1
GO:0055123	c100001-g1
GO:0060216	c100001-g1
GO:0060255	c100001-g1
GO:0060322	c100001-g1
GO:0061008	c100001-g1
GO:0065007	c100001-g1
GO:0065008	c100001-g1
GO:0070013	c100001-g1
GO:0072576	c100001-g1
GO:0090304	c100001-g1
GO:0140098	c100001-g1
GO:1901532	c100001-g1
GO:1901534	c100001-g1
GO:1902036	c100001-g1
GO:1902038	c100001-g1
GO:1902105	c100001-g1
GO:1902107	c100001-g1
GO:1903706	c100001-g1
GO:1903708	c100001-g1
GO:1990904	c100001-g1
GO:2000026	c100001-g1
GO:2000736	c100001-g1
GO:2000738	c100001-g1
GO:0000375	c100001-g2
GO:0000377	c100001-g2
GO:0000398	c100001-g2
GO:0001650	c100001-g2
GO:0001889	c100001-g2
GO:0002376	c100001-g2
GO:0002520	c100001-g2
GO:0002682	c100001-g2
GO:0002684	c100001-g2
GO:0002694	c100001-g2
GO:0002696	c100001-g2
GO:0003674	c100001-g2
GO:0003724	c100001-g2
GO:0003824	c100001-g2
GO:0004386	c100001-g2
GO:0005575	c100001-g2
GO:0005622	c100001-g2
GO:0005634	c100001-g2
GO:0005654	c100001-g2
GO:0005681	c100001-g2
GO:0005730	c100001-g2
GO:0005737	c100001-g2
