protein_id,orthogroup
NV2.11764,OG0000000
NV2.12650,OG0000000
NV2.13658,OG0000000
NV2.1366,OG0000000
NV2.14294,OG0000000
NV2.14415,OG0000000
NV2.14426,OG0000000
NV2.15885,OG0000000
NV2.15886,OG0000000
NV2.16441,OG0000000
NV2.1783,OG0000000
NV2.17889,OG0000000
NV2.18086,OG0000000
NV2.18089,OG0000000
NV2.1824,OG0000000
NV2.19096,OG0000000
NV2.19098,OG0000000
NV2.19855,OG0000000
NV2.19857,OG0000000
NV2.19858,OG0000000
NV2.19860,OG0000000
NV2.19861,OG0000000
NV2.19862,OG0000000
NV2.19863,OG0000000
NV2.19864,OG0000000
NV2.19866,OG0000000
NV2.19937,OG0000000
NV2.19940,OG0000000
NV2.20268,OG0000000
NV2.20637,OG0000000
NV2.21413,OG0000000
NV2.21535,OG0000000
NV2.21981,OG0000000
NV2.22318,OG0000000
NV2.22397,OG0000000
NV2.22399,OG0000000
NV2.22750,OG0000000
NV2.22902,OG0000000
NV2.23604,OG0000000
NV2.23605,OG0000000
NV2.2484,OG0000000
NV2.25214,OG0000000
NV2.25474,OG0000000
NV2.25997,OG0000000
NV2.2932,OG0000000
NV2.2934,OG0000000
NV2.2964,OG0000000
NV2.3214,OG0000000
NV2.3483,OG0000000
NV2.3828,OG0000000
NV2.3830,OG0000000
NV2.5713,OG0000000
NV2.6029,OG0000000
NV2.6770,OG0000000
NV2.892,OG0000000
NV2.10481,OG0000001
NV2.10230,OG0000002
NV2.10443,OG0000002
NV2.10702,OG0000002
NV2.10706,OG0000002
NV2.11392,OG0000002
NV2.12100,OG0000002
NV2.12362,OG0000002
NV2.12459,OG0000002
NV2.12923,OG0000002
NV2.13304,OG0000002
NV2.13641,OG0000002
NV2.13831,OG0000002
NV2.13834,OG0000002
NV2.17365,OG0000002
NV2.17679,OG0000002
NV2.17795,OG0000002
NV2.17813,OG0000002
NV2.17817,OG0000002
NV2.17818,OG0000002
NV2.18125,OG0000002
NV2.18127,OG0000002
NV2.18146,OG0000002
NV2.18362,OG0000002
NV2.18515,OG0000002
NV2.18530,OG0000002
NV2.18662,OG0000002
NV2.18770,OG0000002
NV2.19168,OG0000002
NV2.19513,OG0000002
NV2.19731,OG0000002
NV2.19790,OG0000002
NV2.20211,OG0000002
NV2.20244,OG0000002
NV2.20351,OG0000002
NV2.20363,OG0000002
NV2.20364,OG0000002
NV2.20366,OG0000002
NV2.20368,OG0000002
NV2.20518,OG0000002
NV2.21256,OG0000002
NV2.21261,OG0000002
NV2.21333,OG0000002
NV2.21969,OG0000002
NV2.21975,OG0000002
NV2.22189,OG0000002
NV2.22278,OG0000002
NV2.22279,OG0000002
NV2.22813,OG0000002
NV2.22997,OG0000002
NV2.23711,OG0000002
NV2.24037,OG0000002
NV2.24094,OG0000002
NV2.24234,OG0000002
NV2.24235,OG0000002
NV2.24236,OG0000002
NV2.24237,OG0000002
NV2.25099,OG0000002
NV2.25100,OG0000002
NV2.25713,OG0000002
NV2.25714,OG0000002
NV2.3078,OG0000002
NV2.3436,OG0000002
NV2.4131,OG0000002
NV2.4915,OG0000002
NV2.4999,OG0000002
NV2.5202,OG0000002
NV2.5346,OG0000002
NV2.5347,OG0000002
NV2.5394,OG0000002
NV2.5458,OG0000002
NV2.6958,OG0000002
NV2.8314,OG0000002
NV2.8801,OG0000002
NV2.9418,OG0000002
NV2.9968,OG0000002
NV2.10075,OG0000003
NV2.10076,OG0000003
NV2.10078,OG0000003
NV2.10100,OG0000003
NV2.10102,OG0000003
NV2.10146,OG0000003
NV2.10173,OG0000003
NV2.10405,OG0000003
NV2.10521,OG0000003
NV2.10529,OG0000003
NV2.10575,OG0000003
NV2.10577,OG0000003
NV2.10582,OG0000003
NV2.10586,OG0000003
NV2.10764,OG0000003
NV2.11008,OG0000003
NV2.11164,OG0000003
NV2.11285,OG0000003
NV2.11954,OG0000003
NV2.12497,OG0000003
NV2.13124,OG0000003
NV2.1342,OG0000003
NV2.13509,OG0000003
NV2.1351,OG0000003
NV2.1352,OG0000003
NV2.13543,OG0000003
NV2.13856,OG0000003
NV2.14199,OG0000003
NV2.15545,OG0000003
NV2.15956,OG0000003
NV2.16280,OG0000003
NV2.16286,OG0000003
NV2.16530,OG0000003
NV2.1661,OG0000003
NV2.17123,OG0000003
NV2.17574,OG0000003
NV2.17739,OG0000003
NV2.18120,OG0000003
NV2.18221,OG0000003
NV2.18622,OG0000003
NV2.18839,OG0000003
