term	gene
GO:0001523	NV2.25880
GO:0003008	NV2.25880
GO:0003013	NV2.25880
GO:0003018	NV2.25880
GO:0003674	NV2.25880
GO:0003824	NV2.25880
GO:0004180	NV2.25880
GO:0004185	NV2.25880
GO:0005575	NV2.25880
GO:0005622	NV2.25880
GO:0005737	NV2.25880
GO:0005829	NV2.25880
GO:0006082	NV2.25880
GO:0006508	NV2.25880
GO:0006629	NV2.25880
GO:0006720	NV2.25880
GO:0006721	NV2.25880
GO:0008015	NV2.25880
GO:0008150	NV2.25880
GO:0008152	NV2.25880
GO:0008217	NV2.25880
GO:0008233	NV2.25880
GO:0008236	NV2.25880
GO:0008238	NV2.25880
GO:0009056	NV2.25880
GO:0009057	NV2.25880
GO:0009987	NV2.25880
GO:0010817	NV2.25880
GO:0016101	NV2.25880
GO:0016787	NV2.25880
GO:0017171	NV2.25880
GO:0019538	NV2.25880
GO:0019752	NV2.25880
GO:0030163	NV2.25880
GO:0032501	NV2.25880
GO:0032787	NV2.25880
GO:0035150	NV2.25880
GO:0035296	NV2.25880
GO:0042445	NV2.25880
GO:0042573	NV2.25880
GO:0043170	NV2.25880
GO:0043436	NV2.25880
GO:0044238	NV2.25880
GO:0044281	NV2.25880
GO:0045776	NV2.25880
GO:0051603	NV2.25880
GO:0065007	NV2.25880
GO:0065008	NV2.25880
GO:0070008	NV2.25880
GO:0090066	NV2.25880
GO:0097746	NV2.25880
GO:0140096	NV2.25880
GO:0000981	NV2.25886
GO:0003674	NV2.25886
GO:0003700	NV2.25886
GO:0006355	NV2.25886
GO:0006357	NV2.25886
GO:0008150	NV2.25886
GO:0009889	NV2.25886
GO:0010468	NV2.25886
GO:0010556	NV2.25886
GO:0019219	NV2.25886
GO:0019222	NV2.25886
GO:0050789	NV2.25886
GO:0050794	NV2.25886
GO:0051252	NV2.25886
GO:0060255	NV2.25886
GO:0065007	NV2.25886
GO:0080090	NV2.25886
GO:0140110	NV2.25886
GO:2001141	NV2.25886
GO:0000018	NV2.25959
GO:0001775	NV2.25959
GO:0002200	NV2.25959
GO:0002204	NV2.25959
GO:0002208	NV2.25959
GO:0002250	NV2.25959
GO:0002252	NV2.25959
GO:0002263	NV2.25959
GO:0002285	NV2.25959
GO:0002312	NV2.25959
GO:0002366	NV2.25959
GO:0002376	NV2.25959
GO:0002377	NV2.25959
GO:0002381	NV2.25959
GO:0002440	NV2.25959
GO:0002443	NV2.25959
GO:0002449	NV2.25959
GO:0002460	NV2.25959
GO:0002520	NV2.25959
GO:0002562	NV2.25959
GO:0002637	NV2.25959
GO:0002639	NV2.25959
GO:0002682	NV2.25959
GO:0002684	NV2.25959
GO:0002694	NV2.25959
GO:0002696	NV2.25959
GO:0002697	NV2.25959
GO:0002699	NV2.25959
GO:0002700	NV2.25959
GO:0002702	NV2.25959
GO:0002703	NV2.25959
GO:0002705	NV2.25959
