#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NV2.25931	1207063.P24_05094	2.55e-76	251.0	COG1007@1|root,COG1007@2|Bacteria,1MV56@1224|Proteobacteria,2TQMX@28211|Alphaproteobacteria,2JQ1V@204441|Rhodospirillales	204441|Rhodospirillales	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoN	-	1.6.5.3	ko:K00343	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Proton_antipo_M
NV2.25877	45351.EDO31724	1.45e-60	199.0	KOG4541@1|root,KOG4541@2759|Eukaryota,394Z0@33154|Opisthokonta,3BA16@33208|Metazoa	33208|Metazoa	UY	exportin 4	-	-	-	-	-	-	-	-	-	-	-	-	-
NV2.25879	45351.EDO31724	1.93e-113	333.0	KOG4541@1|root,KOG4541@2759|Eukaryota,394Z0@33154|Opisthokonta,3BA16@33208|Metazoa	33208|Metazoa	UY	exportin 4	-	-	-	-	-	-	-	-	-	-	-	-	-
NV2.25880	45351.EDO31722	4.02e-316	860.0	COG2939@1|root,KOG1283@2759|Eukaryota,38BFR@33154|Opisthokonta,3BH14@33208|Metazoa	33208|Metazoa	O	serine-type carboxypeptidase activity	SCPEP1	GO:0001523,GO:0003008,GO:0003013,GO:0003018,GO:0003674,GO:0003824,GO:0004180,GO:0004185,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006508,GO:0006629,GO:0006720,GO:0006721,GO:0006807,GO:0008015,GO:0008150,GO:0008152,GO:0008217,GO:0008233,GO:0008236,GO:0008238,GO:0009056,GO:0009057,GO:0009987,GO:0010817,GO:0016101,GO:0016787,GO:0017171,GO:0019538,GO:0019752,GO:0030163,GO:0032501,GO:0032787,GO:0034754,GO:0035150,GO:0035296,GO:0042445,GO:0042573,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044255,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045776,GO:0050880,GO:0051603,GO:0065007,GO:0065008,GO:0070008,GO:0070011,GO:0071704,GO:0090066,GO:0097746,GO:0097755,GO:0140096,GO:1901564,GO:1901565,GO:1901575	-	ko:K09646	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_S10
NV2.25882	45351.EDO29905	1.65e-216	610.0	COG0507@1|root,2S7Z5@2759|Eukaryota,3AB8Y@33154|Opisthokonta,3BU5T@33208|Metazoa	33208|Metazoa	L	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD	-	-	-	-	-	-	-	-	-	-	-	-	-
NV2.25884	7668.SPU_005880-tr	1.12e-113	376.0	COG2801@1|root,KOG0017@2759|Eukaryota,3A9JY@33154|Opisthokonta,3BUDS@33208|Metazoa,3DI1M@33213|Bilateria	33208|Metazoa	L	transposition, RNA-mediated	-	-	-	-	-	-	-	-	-	-	-	-	rve
NV2.25886	45351.EDO25800	1.86e-22	89.7	2E75Q@1|root,2SDT3@2759|Eukaryota,3A1BG@33154|Opisthokonta,3BQ5A@33208|Metazoa	33208|Metazoa	S	DNA binding	THAP10	GO:0000981,GO:0003674,GO:0003700,GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1903506,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	THAP
NV2.25887	7668.SPU_013085-tr	5.85e-25	104.0	29YJV@1|root,2RXU5@2759|Eukaryota,3A0FB@33154|Opisthokonta,3BPYT@33208|Metazoa,3D6GB@33213|Bilateria	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1
NV2.25898	45351.EDO33301	4.9e-87	257.0	28N88@1|root,2QUTJ@2759|Eukaryota,39ZRG@33154|Opisthokonta,3BMP5@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NV2.25899	45351.EDO28255	1.82e-144	415.0	2A75T@1|root,2RYDE@2759|Eukaryota	2759|Eukaryota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Phage_integrase
