protein_id,orthogroup
NP-001001596.1,OG0000000
NP-001003837.2,OG0000000
NP-001004503.1,OG0000000
NP-001004543.1,OG0000000
NP-001005919.2,OG0000000
NP-001013288.2,OG0000000
NP-001018425.1,OG0000000
NP-001025140.1,OG0000000
NP-001025391.1,OG0000000
NP-001035418.1,OG0000000
NP-001038444.2,OG0000000
NP-001070140.1,OG0000000
NP-001071067.1,OG0000000
NP-001073486.2,OG0000000
NP-001077039.1,OG0000000
NP-001077295.1,OG0000000
NP-001108215.2,OG0000000
NP-001108364.1,OG0000000
NP-001116177.1,OG0000000
NP-001116701.1,OG0000000
NP-001129722.2,OG0000000
NP-001136144.1,OG0000000
NP-001155204.1,OG0000000
NP-001184090.2,OG0000000
NP-001229933.1,OG0000000
NP-001229934.1,OG0000000
NP-001229935.1,OG0000000
NP-001243593.1,OG0000000
NP-001296328.1,OG0000000
NP-001296329.1,OG0000000
NP-001314672.1,OG0000000
NP-001315092.1,OG0000000
NP-001334810.1,OG0000000
NP-001352100.1,OG0000000
NP-001352101.1,OG0000000
NP-001352482.1,OG0000000
NP-001352511.1,OG0000000
NP-001353483.1,OG0000000
NP-001410482.1,OG0000000
NP-571170.1,OG0000000
NP-571489.1,OG0000000
NP-571505.2,OG0000000
NP-571507.2,OG0000000
NP-571681.2,OG0000000
NP-571871.1,OG0000000
NP-694494.2,OG0000000
NP-694500.1,OG0000000
NP-694501.1,OG0000000
NP-705944.1,OG0000000
NP-840088.2,OG0000000
NP-942114.1,OG0000000
NP-997735.1,OG0000000
NP-997946.1,OG0000000
NP-998008.2,OG0000000
XP-001338064.4,OG0000000
XP-001344560.5,OG0000000
XP-001920022.4,OG0000000
XP-002662799.4,OG0000000
XP-003201292.4,OG0000000
XP-005155595.1,OG0000000
XP-005155596.1,OG0000000
XP-005158222.1,OG0000000
XP-005158634.1,OG0000000
XP-005158636.1,OG0000000
XP-005159987.1,OG0000000
XP-005160359.1,OG0000000
XP-005162266.1,OG0000000
XP-005163456.1,OG0000000
XP-005163740.1,OG0000000
XP-005165942.1,OG0000000
XP-005165988.1,OG0000000
XP-005166320.1,OG0000000
XP-005166321.1,OG0000000
XP-005166322.1,OG0000000
XP-005166946.1,OG0000000
XP-005166947.1,OG0000000
XP-005166948.1,OG0000000
XP-005169275.1,OG0000000
XP-005169609.1,OG0000000
XP-005171317.1,OG0000000
XP-005171372.1,OG0000000
XP-005171373.1,OG0000000
XP-005171374.1,OG0000000
XP-005171375.1,OG0000000
XP-005172104.1,OG0000000
XP-005172105.1,OG0000000
XP-005172355.1,OG0000000
XP-005174178.1,OG0000000
XP-005174187.1,OG0000000
XP-005174236.1,OG0000000
XP-005174599.3,OG0000000
XP-009290548.1,OG0000000
XP-009290549.1,OG0000000
XP-009290550.1,OG0000000
XP-009290551.1,OG0000000
XP-009290686.1,OG0000000
XP-009292762.1,OG0000000
XP-009295169.2,OG0000000
XP-009295758.2,OG0000000
XP-009295759.2,OG0000000
XP-009295760.2,OG0000000
XP-009300152.1,OG0000000
XP-009302579.1,OG0000000
XP-009302851.1,OG0000000
XP-009302852.1,OG0000000
XP-009303940.1,OG0000000
XP-009304537.1,OG0000000
XP-009305459.1,OG0000000
XP-009305463.1,OG0000000
XP-017206819.2,OG0000000
XP-017207385.1,OG0000000
XP-017207747.1,OG0000000
XP-017208000.1,OG0000000
XP-017209008.1,OG0000000
XP-017209009.1,OG0000000
XP-017212461.1,OG0000000
XP-017212852.1,OG0000000
XP-017213329.1,OG0000000
XP-017214284.1,OG0000000
XP-021324138.1,OG0000000
XP-021324139.1,OG0000000
XP-021324140.1,OG0000000
XP-021324141.1,OG0000000
XP-021324142.1,OG0000000
XP-021324143.1,OG0000000
XP-021324144.1,OG0000000
XP-021324228.1,OG0000000
XP-021325321.1,OG0000000
XP-021325624.1,OG0000000
XP-021325625.1,OG0000000
XP-021326614.2,OG0000000
XP-021326891.1,OG0000000
XP-021327249.1,OG0000000
XP-021327359.1,OG0000000
XP-021327360.1,OG0000000
XP-021327888.1,OG0000000
XP-021329588.1,OG0000000
XP-021329693.1,OG0000000
XP-021330215.1,OG0000000
XP-021331676.1,OG0000000
XP-021334822.1,OG0000000
XP-021334864.1,OG0000000
XP-021334956.1,OG0000000
XP-021335297.1,OG0000000
XP-021336227.1,OG0000000
XP-021336229.1,OG0000000
XP-021336230.1,OG0000000
XP-021336231.1,OG0000000
XP-021336334.1,OG0000000
XP-021336598.2,OG0000000
XP-021336920.1,OG0000000
XP-068069026.1,OG0000000
XP-068069027.1,OG0000000
XP-068069615.1,OG0000000
XP-068069970.1,OG0000000
XP-068069971.1,OG0000000
XP-068069972.1,OG0000000
XP-068069973.1,OG0000000
XP-068069974.1,OG0000000
XP-068069975.1,OG0000000
XP-068069976.1,OG0000000
XP-068069977.1,OG0000000
XP-068069978.1,OG0000000
XP-068069979.1,OG0000000
XP-068069980.1,OG0000000
XP-068069981.1,OG0000000
XP-068069982.1,OG0000000
XP-068070606.1,OG0000000
XP-068070607.1,OG0000000
XP-068071652.1,OG0000000
XP-068071653.1,OG0000000
XP-068071845.1,OG0000000
XP-068072499.1,OG0000000
XP-068072521.1,OG0000000
XP-068072960.1,OG0000000
XP-068073325.1,OG0000000
XP-068073506.1,OG0000000
XP-068074880.1,OG0000000
XP-068075251.1,OG0000000
XP-068075252.1,OG0000000
XP-068078107.1,OG0000000
XP-068079124.1,OG0000000
XP-068079125.1,OG0000000
XP-068080405.1,OG0000000
XP-068081038.1,OG0000000
XP-068081039.1,OG0000000
XP-068081040.1,OG0000000
XP-068081041.1,OG0000000
XP-687698.2,OG0000000
XP-689681.6,OG0000000
XP-693702.4,OG0000000
XP-694955.2,OG0000000
XP-695792.1,OG0000000
XP-697087.5,OG0000000
XP-698054.5,OG0000000
XP-701258.6,OG0000000
NP-001003622.2,OG0000001
NP-001013565.1,OG0000001
NP-001013574.1,OG0000001
NP-001018413.1,OG0000001
NP-001027014.1,OG0000001
NP-001032484.2,OG0000001
NP-001076526.1,OG0000001
NP-001076551.1,OG0000001
NP-001093566.1,OG0000001
NP-001103210.2,OG0000001
NP-001103309.2,OG0000001
NP-001103332.1,OG0000001
NP-001104625.1,OG0000001
NP-001107078.1,OG0000001
NP-001107959.1,OG0000001
NP-001108377.1,OG0000001
NP-001108393.1,OG0000001
NP-001108399.2,OG0000001
NP-001108584.1,OG0000001
NP-001116099.1,OG0000001
NP-001120944.1,OG0000001
NP-001314792.1,OG0000001
NP-001314815.1,OG0000001
NP-001314845.1,OG0000001
NP-001314925.1,OG0000001
NP-001314951.1,OG0000001
NP-001314964.1,OG0000001
NP-001315634.1,OG0000001
NP-001352876.1,OG0000001
NP-001353305.1,OG0000001
NP-001353349.1,OG0000001
NP-001373745.1,OG0000001
NP-001410314.1,OG0000001
NP-001410626.1,OG0000001
XP-001923745.3,OG0000001
XP-002662196.1,OG0000001
XP-003198250.1,OG0000001
XP-005161585.1,OG0000001
XP-005161595.2,OG0000001
XP-005161596.1,OG0000001
XP-005161598.1,OG0000001
XP-005163751.1,OG0000001
XP-005168078.1,OG0000001
XP-005174058.1,OG0000001
XP-009289662.1,OG0000001
XP-009289663.1,OG0000001
XP-009294395.1,OG0000001
XP-009294396.1,OG0000001
XP-009296639.2,OG0000001
XP-009297245.1,OG0000001
XP-009299259.1,OG0000001
XP-017207359.1,OG0000001
XP-017208569.1,OG0000001
XP-017208828.2,OG0000001
XP-017208841.1,OG0000001
XP-017209749.1,OG0000001
XP-017209933.1,OG0000001
XP-017209942.1,OG0000001
XP-017210218.1,OG0000001
XP-017210371.2,OG0000001
XP-017210989.2,OG0000001
XP-017210993.3,OG0000001
XP-017211012.3,OG0000001
XP-017211015.1,OG0000001
XP-017211020.1,OG0000001
XP-017211121.3,OG0000001
XP-017211133.3,OG0000001
XP-017211166.1,OG0000001
XP-017211180.1,OG0000001
XP-017211205.3,OG0000001
XP-017211218.1,OG0000001
XP-017211227.1,OG0000001
