term	gene
GO:0000165	Hhon-g00019.t1
GO:0001784	Hhon-g00019.t1
GO:0002053	Hhon-g00019.t1
GO:0002682	Hhon-g00019.t1
GO:0002684	Hhon-g00019.t1
GO:0002791	Hhon-g00019.t1
GO:0002792	Hhon-g00019.t1
GO:0002793	Hhon-g00019.t1
GO:0003006	Hhon-g00019.t1
GO:0003008	Hhon-g00019.t1
GO:0003674	Hhon-g00019.t1
GO:0003824	Hhon-g00019.t1
GO:0005068	Hhon-g00019.t1
GO:0005080	Hhon-g00019.t1
GO:0005085	Hhon-g00019.t1
GO:0005102	Hhon-g00019.t1
GO:0005158	Hhon-g00019.t1
GO:0005159	Hhon-g00019.t1
GO:0005488	Hhon-g00019.t1
GO:0005515	Hhon-g00019.t1
GO:0005575	Hhon-g00019.t1
GO:0005622	Hhon-g00019.t1
GO:0005634	Hhon-g00019.t1
GO:0005737	Hhon-g00019.t1
GO:0005815	Hhon-g00019.t1
GO:0005829	Hhon-g00019.t1
GO:0005856	Hhon-g00019.t1
GO:0005886	Hhon-g00019.t1
GO:0005899	Hhon-g00019.t1
GO:0005901	Hhon-g00019.t1
GO:0005929	Hhon-g00019.t1
GO:0005938	Hhon-g00019.t1
GO:0005979	Hhon-g00019.t1
GO:0006109	Hhon-g00019.t1
GO:0006468	Hhon-g00019.t1
GO:0006629	Hhon-g00019.t1
GO:0006644	Hhon-g00019.t1
GO:0006650	Hhon-g00019.t1
GO:0006661	Hhon-g00019.t1
GO:0006793	Hhon-g00019.t1
GO:0006796	Hhon-g00019.t1
GO:0006950	Hhon-g00019.t1
GO:0007028	Hhon-g00019.t1
GO:0007154	Hhon-g00019.t1
GO:0007165	Hhon-g00019.t1
GO:0007166	Hhon-g00019.t1
GO:0007167	Hhon-g00019.t1
GO:0007169	Hhon-g00019.t1
GO:0007275	Hhon-g00019.t1
GO:0007276	Hhon-g00019.t1
GO:0007281	Hhon-g00019.t1
GO:0007283	Hhon-g00019.t1
GO:0007285	Hhon-g00019.t1
GO:0007292	Hhon-g00019.t1
GO:0007295	Hhon-g00019.t1
GO:0007296	Hhon-g00019.t1
GO:0007424	Hhon-g00019.t1
GO:0007610	Hhon-g00019.t1
GO:0007611	Hhon-g00019.t1
GO:0007612	Hhon-g00019.t1
GO:0007635	Hhon-g00019.t1
GO:0008104	Hhon-g00019.t1
GO:0008150	Hhon-g00019.t1
GO:0008152	Hhon-g00019.t1
GO:0008284	Hhon-g00019.t1
GO:0008286	Hhon-g00019.t1
GO:0008306	Hhon-g00019.t1
GO:0008340	Hhon-g00019.t1
GO:0008355	Hhon-g00019.t1
GO:0008356	Hhon-g00019.t1
GO:0008361	Hhon-g00019.t1
GO:0008610	Hhon-g00019.t1
GO:0008654	Hhon-g00019.t1
GO:0009056	Hhon-g00019.t1
GO:0009058	Hhon-g00019.t1
GO:0009267	Hhon-g00019.t1
GO:0009314	Hhon-g00019.t1
GO:0009410	Hhon-g00019.t1
GO:0009605	Hhon-g00019.t1
GO:0009628	Hhon-g00019.t1
GO:0009719	Hhon-g00019.t1
GO:0009725	Hhon-g00019.t1
GO:0009889	Hhon-g00019.t1
GO:0009891	Hhon-g00019.t1
GO:0009892	Hhon-g00019.t1
GO:0009893	Hhon-g00019.t1
GO:0009894	Hhon-g00019.t1
GO:0009895	Hhon-g00019.t1
GO:0009896	Hhon-g00019.t1
GO:0009966	Hhon-g00019.t1
GO:0009967	Hhon-g00019.t1
GO:0009968	Hhon-g00019.t1
GO:0009987	Hhon-g00019.t1
GO:0010464	Hhon-g00019.t1
GO:0010468	Hhon-g00019.t1
GO:0010556	Hhon-g00019.t1
GO:0010557	Hhon-g00019.t1
GO:0010562	Hhon-g00019.t1
GO:0010565	Hhon-g00019.t1
GO:0010604	Hhon-g00019.t1
GO:0010646	Hhon-g00019.t1
GO:0010647	Hhon-g00019.t1
GO:0010648	Hhon-g00019.t1
GO:0010817	Hhon-g00019.t1
GO:0010827	Hhon-g00019.t1
GO:0010828	Hhon-g00019.t1
GO:0010896	Hhon-g00019.t1
GO:0010897	Hhon-g00019.t1
GO:0010906	Hhon-g00019.t1
GO:0010907	Hhon-g00019.t1
GO:0010962	Hhon-g00019.t1
GO:0014074	Hhon-g00019.t1
GO:0014823	Hhon-g00019.t1
GO:0015630	Hhon-g00019.t1
GO:0016020	Hhon-g00019.t1
GO:0016042	Hhon-g00019.t1
GO:0016043	Hhon-g00019.t1
GO:0016049	Hhon-g00019.t1
GO:0016301	Hhon-g00019.t1
GO:0016303	Hhon-g00019.t1
GO:0016310	Hhon-g00019.t1
